followers,following,follower_following_ratio,public_repos,gh_impact,name_h,Team type
601.0,457.0,2.472241029113067,184.0,12.0,-8J9dOJzDxHkWK8hxFdcmA/5X9F9wb8Voy8kU7_6xjX5Q,human
101.0,33.0,4.954545454545456,79.0,4.0,-8aMcFepE6npzBzA-yhADw/Dba_xvbJDHer13EycaPq3Q,human
0.0,2.0,0.0,12.0,0.0,-8o4JFe4po0YfzyzZXl_gQ/EiCbFtl99nB7EMZLh5rtPw,human
18.0,12.0,4.125,79.0,3.0,-8xZktDgZzCJB9UrhD8OeQ/aIpyE3VuQ3hGO6stsFX6aA,human
0.0,1.0,0.0,14.0,1.0,-97uGkdzDgpuOmOoLBKAAw/RGDt5bUbqE9WM1uB3nET-g,human
33.0,5.0,16.5,44.0,1.0,-9OpsDTgGGFIz824d5V7Rg/e0mEP3pDPPVVlb-m6WwCNQ,human
11.0,9.0,5.666666666666667,24.0,2.0,-9YJLA0TUF-1ijSE5Avx5g/NmuH2X_-8QOq_o7ta2yD9Q,human
2.0,1.0,2.0,16.0,0.0,-9t0mgAQfC0uyZpnbDQahw/Db7NJgVj_LYN96liNpJvDA,human
117.0,128.0,22.71969696969697,314.0,10.0,-ACdWIbNn9DI7RIxZZ7qJw/p--4qYkJxiYLjqC8w1h1Mw,human
22.0,13.0,5.071428571428572,71.0,4.0,-AJWPy4TO1qNfxyF3aJ0ZQ/_0OoKZgN2e_YIvA10BC-LA,human
2.0,0.0,0.0,17.0,0.0,-A_PyYNS-VTHbEgAqSdLVQ/0rUSLeICmiK2pStfDFKd4g,human
2.0,0.0,0.0,14.0,0.0,-A_PyYNS-VTHbEgAqSdLVQ/3VwHA28pdf9LzlaLZRHTvA,human
95.0,51.0,4.701515151515151,164.0,5.0,-AdwEb1k402jXXT3oJQZ6A/GhOOPXxoVvioCtY_eMVXjA,human
6.0,29.0,0.9676470588235294,131.0,1.0,-AqTYngsPNgzPRlVf5I8Kw/66u_YZZH5l7evVeyqUwJbA,human
0.0,3.0,0.0,23.0,0.0,-B7Xe0mZCEwQZrIzKGMy3A/bZXtZKn0xqgDV1_6OJdA6A,human
14.0,12.0,1.0833333333333333,19.0,0.0,-BUMia0k3NW-OnxnWd7T_g/xilaAsAdg2aABX14iG7E0g,human
0.0,2.0,0.0,5.0,0.0,-Bkm4DLwXRoNOLQ1bBi6lA/sVvZlHxO1gdOsXyo728LbA,human
3.0,5.0,3.0,40.0,2.0,-C8oN_xaXxS9Z0Fg92RsIQ/hJyCnWWLqu_1EtdmsNs8zg,human
20.0,26.0,2.25,366.0,3.0,-CK23VAN5cv9KA1bQnqJww/9-90-BphIEKYUMIZJAnxMg,human
9.0,58.0,0.25297619047619047,185.0,6.0,-CNqnvQE2eESnwVMqFKUlg/7Ou3qOXkZNWs9KExPDxELg,human
10.0,9.0,2.3,35.0,1.0,-CgQze7J_y1_VfYe5hfRpA/MA4CRGxt4Gke4WM4Q9lxUA,human
0.0,1.0,0.0,28.0,1.0,-CoOUqJ5oC3eWiMo18FzNA/Dz7o5Mos1kXJNTlVMaHtbg,human
0.0,2.0,0.0,47.0,2.0,-D9K3GKXW5LBNq1C4aSzYA/4oJiDe20DCt0EAVglbM0Ew,human
7.0,7.0,2.6,40.0,0.0,-DUlfYa_xyTRkoenWraRqA/SJ9vnVu8xDezdCcWYXSxAA,human
1.0,5.0,0.5,51.0,1.0,-DVIddk8C0ZC3lI-VdJkrw/nNwm9TbgEu5SemcEleA3pQ,human
543.0,224.0,6.165277777777778,193.0,5.0,-DZaFkFxidLO_h0OWj0F1A/tD_dmLH9cFrkw6EM8lqtig,human
6.0,5.0,1.5,38.0,1.0,-E5PCbu3Zbs4d2BzsOUTEg/LWYK9QsVTIvMn2M7Jn6IZA,human
2.0,6.0,0.0,85.0,4.0,-E8HKo_2mUM1H8aG82THfA/fsQCKxCJkhjshrNjJb93Ig,human
1.0,0.0,0.0,11.0,0.0,-EVWNBh-4CXU6IvCaYPZJQ/S_1cHNqBigLqD7GJaVMxcg,human
0.0,0.0,0.0,4.0,0.0,-EqJg7eZQ_MwvfkUm9sIPg/z2CvyBkpyWpKmuV7uvYyaQ,human
6.0,3.0,1.6666666666666667,64.0,1.0,-ExShCJcYW6G5jf0QSj1rA/pSGOzeN-GOqRVv_yZ6Nm3A,human
0.0,0.0,0.0,21.0,0.0,-FAGvccKl2ndd3TQB7rJ3Q/cSbIQzX0BZjdy-sQLUdiKA,human
63.0,46.0,2.0852713178294575,103.0,1.0,-FEp5Xb_cEFZv2TZvXDhfg/WwhygBqA6MhuQu8GJiBmCw,human
14.0,13.0,4.625,57.0,3.0,-FLeRA_UyKKu9zUyplN6Dw/VmSxhyKPudNw2j5udfwebg,human
0.0,13.0,0.0,39.0,2.0,-FuP8F2JKURTXvfJXAaA0A/Q3J9YNnx9lsW7RNieOrXPQ,human
28.0,39.0,1.5914285714285714,474.0,3.0,-GI4bU5FJ-Q87QQdi41V6w/xKsmySVxgri8zssRFyiZhQ,human
1.0,2.0,0.5,32.0,0.0,-GYwFRkIZH0gbOuh3hVPUg/IRPvv3xKrp1Kfl6YfwCmnQ,human
6.0,9.0,1.3,62.0,2.0,-GqUZ95jieU_GuUgvYNtGQ/LyJ6vv0iHVxFaLa1nSyKbA,human
1.0,1.0,1.0,21.0,0.0,-H5Y0vNz3FVpj6Tc-cdLWg/ICiDv67Giq5F-j3jTBbA9Q,human
15.0,4.0,7.5,39.0,2.0,-H8U1kRWrqWDeJy6cC7fXg/DVPkWwZICO8KUgswOhw_mA,human
17.0,18.0,3.8499999999999996,27.0,2.0,-HP-zf_wAgQnVWKnJtBIhA/bgHe_IIZ04CpQCt1MSU9xw,human
0.0,5.0,0.0,26.0,1.0,-HiEpvixIOB23RBU2_G5lQ/uvtghdYSmUUglui9RszxsA,human
0.0,17.0,0.0,98.0,1.0,-I-onBffkD8ab-5HxDwLbg/LHBMCf7FYk62yR1wOuNydw,human
0.0,5.0,0.0,180.0,0.0,-I-onBffkD8ab-5HxDwLbg/tXM3ibbmK2iulbkyDTAwmw,human
3.0,4.0,3.0,13.0,0.0,-IE-aL8yHGsltrsKxBE4EQ/K2PMCOG6gO5yFuPyYHzAwQ,human
1.0,0.0,0.0,20.0,0.0,-IHW8eWtEJu9y9iz3zn_EA/39_YmCizxEYpJziSpx8iSg,human
7.0,13.0,1.4,39.0,0.0,-IIjAV92AINh1ECIEcd31g/Is9xbay6oBKwGOcQo9cujw,human
142.0,62.0,2.3278688524590163,85.0,4.0,-ITQww8pSkPxKE-Oge-Lng/tax5BNZPsuqUeZhBeAbzGw,human
18.0,24.0,1.975,107.0,8.0,-IY-3bGSRZDRHMSJeHqq1w/GgerzTunQbjIad6t4hIeYw,human
1.0,1.0,0.0,2.0,0.0,-IbeOfCzPz_KrFWAQmq04w/x1yzt4LjmsubXJR5_DqejQ,human
0.0,0.0,0.0,19.0,0.0,-IcIAvrSwqxZ-x8whpD2ew/WO5vGO3xC7J74LImCmo9fw,human
17.0,27.0,0.7391304347826086,53.0,2.0,-IewgjjLoUGWDpQawVbfQw/-TwOk0Ul63U3D4i5R-MTKQ,human
0.0,4.0,0.0,34.0,1.0,-JI3Fb5zXkuU5nCju1_62g/NZY-9EQMKVEh85VcHUxuPw,human
0.0,0.0,0.0,3.0,0.0,-Jnnvyp4cjgPQGR50QiagA/lL3hUwbsKjxuHA19UuQrAA,human
45.0,27.0,2.2619047619047623,85.0,1.0,-KaOLHoSwYKHlt2hqJ9LQA/JhoUN228bw1P7ek26L7MLQ,human
21.0,52.0,0.9,177.0,2.0,-Kc7hJL2-9LUTezY-DmTPg/Pcx0TwFsZXmbgmMlQkUC0g,human
7.0,11.0,2.5,76.0,1.0,-L_6iPg8SC9nqJ_L05QQrw/y6Whswxra3yJwvrKAzxOSA,human
21.0,30.0,3.8000000000000003,122.0,8.0,-Lnv0OvtIH4ZvuJi7L2VFQ/5puIG3POwzR4r2i2CCGLdQ,human
11.0,12.0,2.375,31.0,1.0,-LqP762e59xgcDoQtGS9KQ/MHkNV1hQw_ekzOCuyI-NQQ,human
28.0,91.0,0.41791044776119396,173.0,5.0,-M99yRfyQNG1toZ4QTqkJw/JdkCwkKDq4z7rFTfoQGtMQ,human
2.0,4.0,1.3333333333333333,23.0,0.0,-MDXklBRP_811Arx6a4IbA/FFsF5afdzmpbluVYF85pGw,human
230.0,89.0,8.705877042520537,342.0,9.0,-MGVG_Au-uu4evyUu8XLcQ/ipnSjDxDyv7VjNusX06SAQ,human
0.0,0.0,0.0,14.0,1.0,-MKZelMGs8p6ud01nrovTg/jobm-yCjqkUn2pJCOCDVWw,human
201.0,2757.0,15.232216934331449,745.0,49.0,-ML5S77s0i2zWxllttaeJw/BtP5bHntwIkM88Qway1Q5Q,human
511.0,155.0,8.645598845598844,204.0,4.0,-MhLINNJmm-VbFnYUr_SlQ/t3hzs7qWKbkalnAnaAWPUw,human
0.0,3.0,0.0,27.0,0.0,-Mq1-zng7bLKgjFdjyc89g/XjlmGeDFGi4w9HG-ex2xhw,human
3.0,9.0,1.25,81.0,1.0,-MwHbengD4u6IGPXTom6dw/y1HNm_vWiUzd6RG9hQZe_A,human
8.0,4.0,2.6666666666666665,43.0,0.0,-N0o-Iofu2Mtc8sqww3Ydw/_cOtB-Cq6NM9MkhWNFr8Nw,human
385.0,6693.0,0.358739953925177,1301.0,76.0,-N4AK1xwPEeSyaSt5zA40g/boMSa1_4a_Bnu_-lptaxnQ,human
59.0,37.0,9.508064516129032,87.0,1.0,-N6kmBY5i7BPVjhw6vG1XQ/8nEX0gx3N5BoGmZuhV8McA,human
6.0,14.0,1.3333333333333333,41.0,2.0,-NTQiUUlkWlhgyl8xeyP4g/fTbZlZIO8hshdY0vC-jt7Q,human
29.0,20.0,2.916666666666667,31.0,1.0,-NwXECGAIBZUNxlT85-fvQ/N9JO1WBRACFNdw9uaNPpaQ,human
3.0,0.0,0.0,18.0,0.0,-NwxW0iMx8WH1Ls9cDNFYQ/kR9jMuf5C5S4fxU3cmOZXA,human
1.0,1.0,0.0,3.0,0.0,-NzVJtJjYXQ0jZscqqf4WA/uk7anwaZIH-2pzlbCod07g,human
0.0,0.0,0.0,23.0,1.0,-OCETUquP3iq0rnzqiWSOw/m-eVh1aIoCL5hLBUKV5_sg,human
1.0,1.0,1.0,21.0,0.0,-OFuGB_nzed1G9qsvBWE9w/VmBf5QhFP9nAGfDTs5FhQA,human
10.0,9.0,2.0,23.0,1.0,-OOyTXeeFLAC4H5F68jglw/ukRyQgVPKo6mLvENzbMOPw,human
13.0,27.0,0.8920454545454545,182.0,6.0,-Ob3pt9Z4PmXWqo3xgZpkA/oN9xVi_6kHZBzlGKkJLlDw,human
13.0,27.0,0.8920454545454545,182.0,6.0,-Ob3pt9Z4PmXWqo3xgZpkA/rTRh5NLedFPPQQEh1Rfmmw,human
0.0,0.0,0.0,14.0,0.0,-ObUYXLziR9QBoL49-05jQ/aGrw9IobjMwGbq80m3it8A,human
0.0,2.0,0.0,51.0,0.0,-OcnmDHl06Kb-gjOS49Q1A/zZ3YlLo3c0AkS2uHLRNMAw,human
7.0,4.0,3.5,33.0,1.0,-Oksdqiy8FSDb6HhHant0g/MiTNDIrFD6i64QLHWcb1fA,human
22.0,20.0,5.523809523809524,132.0,2.0,-OrADNFQ2KokbXsLmi_8-w/UMbWt85G6z-Artd8s-3_0w,human
1.0,1.0,0.0,20.0,0.0,-P05zkt2nyGYct7HwQrxpA/RempUUknUoRL0kIdeyhjEg,human
0.0,1.0,0.0,18.0,0.0,-P2uklNXL0uB40vf6FnIAA/7Ee5RjKqMtmCAhNzCFw5OA,human
7.0,1.0,6.0,64.0,3.0,-PFUZVlsPXwSmsqlxycdbQ/dHGN4_VdaBPHcWWvLGQS1Q,human
3.0,10.0,0.6000000000000001,54.0,2.0,-PN0l81-NDbwg0WBSK4UMA/Tf3hMPjB-RXqJfAcZnMaFA,human
0.0,0.0,0.0,15.0,0.0,-PUw42q0dLIpnJJ5ffecwQ/GPGp7rdSzMuFMelVPnZnGw,human
0.0,0.0,0.0,6.0,0.0,-PbTmmIVIdP-FVHx0f5UNA/LiOG9Xs_tfJMIZcjh5JDyw,human
0.0,0.0,0.0,6.0,0.0,-PzuCR5IDoysxi90MvDWxg/yXkwzv9lXut4uqmCuDQHCQ,human
0.0,7.0,0.0,116.0,2.0,-QAynUYIYdLmxck3K6KYGw/zRtgMKcBI5APi8Hy_xWfZQ,human
2.0,2.0,1.0,20.0,1.0,-R9-1Lf_p3Tb7SPJXIIrCg/6aD0VBHiyb9UM048trcItQ,human
37.0,39.0,1.868421052631579,220.0,3.0,-RpQeWCRMnkGJLLwya4kiQ/HK6lNWvZUUvLi9wdzqcFMA,human
23.0,16.0,10.380952380952381,10.0,0.0,-S0peIPbRTbDP-gOOLuQ4Q/avyRgWsMC3doaFYhO0Hk6A,human
3.0,4.0,0.5,44.0,2.0,-S8vY35YQErtHMm9wZ8eBw/vTZfy5fz8QZeD4ETGS2QZQ,human
1.0,4.0,0.3333333333333333,45.0,2.0,-ScBnr2AiulhFFNlNxrt3g/psUwku9RbjknbjPHhKBXMw,human
21.0,34.0,1.6363636363636362,129.0,4.0,-T-9qsyjWcCINqYXeMnTJw/vlnk47anE1ZUYLoQg1WUgA,human
4.0,5.0,1.3333333333333333,42.0,1.0,-TDp0U9W5bSJkVagTRLBXA/e_h8kFwdmP2zQ8C2lhtZmg,human
1.0,1.0,1.0,66.0,1.0,-TF1K0F760ZQ9RxQYARChA/GBNQqDOB8TkUdZK1HERmIA,human
0.0,4.0,0.0,34.0,3.0,-TPoKw1-qDAFVmAyC_GSOQ/wp_sI9aauKVU68vh1Inw1w,human
0.0,4.0,0.0,12.0,2.0,-TPoKw1-qDAFVmAyC_GSOQ/x6K9GRHrA9NwoqKdGrtrKQ,human
5.0,1.0,2.0,61.0,0.0,-TPohPvjbauzmpTvB02S0w/1oT-UNMsrbVVt_i__LmC0Q,human
8.0,60.0,0.13793103448275862,32.0,4.0,-TXSxE_zOUMvc7nxhNBJFg/wAS6huwBLcJA01_oCyDHQA,human
3.0,3.0,0.0,30.0,0.0,-TnkLMznOk6o4VRIMDxzhQ/AFiouSQhNapYPSiNEhihrw,human
1.0,3.0,0.5,8.0,0.0,-TrRiDMtgheF3ch6sLQwBA/EMygmyxW8nMAgy1Ski5h7Q,human
51.0,108.0,1.8144499178981939,142.0,10.0,-Tz0adTQFjxzDcfVEy28Dg/qNqseCKD2cxtgOtu2gPouA,human
0.0,0.0,0.0,15.0,0.0,-U6uRJAx9ZoguSfLwZn39Q/68IUmTfPqEsT1Z-1uoQD7g,human
2.0,9.0,1.1428571428571428,135.0,3.0,-U7Sn0cSORusxBueEMTkSw/JVx6c0t_rmwmR7HUklvfMg,human
1.0,1.0,1.0,57.0,0.0,-UKdNhddRKKXVTkKDmfZzw/tSYf80AripnwL1Po9nD-_w,human
6.0,12.0,0.6,82.0,1.0,-UROuaOYfdg49NG06lu9Zw/CkDjyRo6VcmjdCjG0ZTQ5Q,human
9.0,25.0,2.712121212121212,28.0,3.0,-UV5X20zWbJly3Qddwm0-w/_XlUvcLzynRHaCgw0imM1g,human
34.0,21.0,2.2666666666666666,91.0,3.0,-UckFAYJ6X4-Fhdfn6z0Uw/TZ9pHvWsCNbXpvheo0kG-g,human
4.0,24.0,0.4375,66.0,1.0,-UgKXYGveSOrd9hnHSXj4w/-UgKXYGveSOrd9hnHSXj4w,human
0.0,2.0,0.0,5.0,0.0,-V1v0E6ToqNqoBsAf7BuWQ/r5X5DH42D76dcj4-OZu3gA,human
7.0,8.0,1.8571428571428572,114.0,2.0,-V5vvL7H6oPXy5Ai4-WJzw/dX1jCZvvp3m9f14BLp_o0w,human
19.0,13.0,7.6,55.0,1.0,-VA0J3Lbvy0pkaYBLBracg/GJjNiF14LL5BYSzjvrphIw,human
8.0,3.0,6.5,6.0,0.0,-VA0J3Lbvy0pkaYBLBracg/mGcYsib5gH2t1RMuCE9MFA,human
12.0,16.0,2.7179487179487176,81.0,3.0,-VBsDowjPrv6Gc92IQmkCw/57UxK7W6j5KXykdZEO-9Aw,human-bot
5.0,19.0,2.125,82.0,2.0,-VBsDowjPrv6Gc92IQmkCw/c0DwadNZWJRzNMqmUyFrlQ,human-bot
25.0,34.0,3.44017094017094,140.0,4.0,-VBsDowjPrv6Gc92IQmkCw/fgE9XUivC_09Y3jCukZJZg,human
2.0,3.0,0.0,13.0,0.0,-VBsDowjPrv6Gc92IQmkCw/kTC_KxBX_M762Q3E-PVC4A,human
29.0,83.0,6.460374149659864,269.0,9.0,-VBsDowjPrv6Gc92IQmkCw/olrfeQUtrBa_TqSnmM5Gzg,human-bot
